0,syn_mean,literally,speak,syno_lower_mean,attitude,index,sensitivity,disgust_mood,hashtag,introspection,polarities,temper,fear_mood,Questioning,Change_direction,Mental_property,Taking,Measure_volume,anniversary,cool,die,directorate,lust,face,game,jumping,Aggregate,text
0,0.256130097827468,0,1,0.302635081181794,-0.0064705882352941,0,0.0714117647058823,0,0,0.053235294117647,2,0.0668235294117647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,good im double dipping speak. im half way season 3 im also watching season 4. great show!
0,0.3134834927491515,0,0,0.502262443438914,-0.0185714285714285,1,0.0455714285714285,0,1,0.0147142857142857,2,0.0552857142857142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,protect me??? heavens go fathers kingdom out...
1,0.3628509719222463,0,0,0.5842760180995475,0.07625,2,0.04875,0,1,0.1563333333333333,2,0.1344166666666666,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,love professorlayton story never make sense? adventure game solve logic puzzles confused
0,0.3296228609403555,1,0,0.2333797424295161,-0.0084615384615384,3,0.094,0,0,0.0692307692307692,2,0.041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,xbox night.. good job school day short tomorrow otherwise would literally walking zombie..
1,0.4732421406287497,0,0,0.5512820512820512,0.0771111111111111,4,0.0344444444444444,0,0,0.0797777777777777,0,0.0996666666666666,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,v. frustrating want support equal rights people talking turns
0,0.0280777537796976,0,0,0.0907805429864253,0.0,5,0.1125,0,0,0.2155,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mcdonalds 230 im morning lol totally normal !
1,0.224622030237581,0,0,0.3190045248868778,-0.06,6,0.245,0,0,0.3252,2,0.0994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,glad arrived chicago rush hour
0,0.613390928725702,0,1,0.7194570135746605,-0.022,7,0.0644,0,0,0.0,2,0.0726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,know good hand cards speak
1,0.5572354211663068,0,0,0.6776018099547512,0.0,8,0.11,0,0,0.0,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,feel like say pride didnt go
1,0.4800987349583462,0,0,0.574983839689722,0.0,9,0.2548571428571428,0,1,0.2585714285714285,2,0.2208571428571428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,first capital connect great train service london
