traintweets.tsv:463337783755419648	-2.55	Communication Statement Text_creation Linguistic_meaning
traintweets.tsv:463244766109769728	-3	Dead_or_alive
traintweets.tsv:463482725450522624	-3.02	Perception_experience Education_teaching Seeking Seeking_to_achieve
traintweets.tsv:463445012374499328	-0.56	Process_end
traintweets.tsv:463501257110724610	-1.27	Calendric_unit Measure_duration Timespan
traintweets.tsv:463064062134583296	-2.33	People_by_origin Building_subparts Activity_ongoing Cause_to_continue Calendric_unit
traintweets.tsv:463123346540863489	-3.02	Stimulus_focus Arriving Aggregate Kinship Perception_experience
traintweets.tsv:463202001635913728	-1.83	Degree Cause_to_make_noise Make_noise Performing_arts Buildings Locale_by_use
traintweets.tsv:463024234101751809	-2.17	Holding_off_on Waiting
traintweets.tsv:463429219792347136	-2.58	Kinship Required_event Being_in_effect Causation Objective_influence Mental_property Communication Statement Text_creation Locale_by_event
traintweets.tsv:463058742099976192	-3	Religious_belief Grooming Removing
traintweets.tsv:471686411502907392	-1.27	Degree Difficulty
traintweets.tsv:463066733775835136	-3	Calendric_unit Measure_duration
traintweets.tsv:463210227266252800	-2.87	Temporal_collocation
traintweets.tsv:463287565031059456	-2.95	Sign_agreement Text_creation Sign People_by_origin Arriving Judgment Familiarity
traintweets.tsv:463146171737702400	-2.67	
traintweets.tsv:463161404120236034	-2.49	Desiring
traintweets.tsv:3134587228131328	-3	Getting Dimension Ranked_expectation Body_description_holistic
traintweets.tsv:463029433469644800	-2.19	
traintweets.tsv:463114279151865856	-2.12	Temporal_collocation Calendric_unit Measure_duration Timespan
traintweets.tsv:463059587310948352	-1.98	Create_physical_artwork Fields Commemorative
traintweets.tsv:463426813059141633	-2.17	Communication Statement Text_creation Containers Text
traintweets.tsv:463354274890936320	-2.54	Connecting_architecture Organization Cause_change Objective_influence Body_movement Intentional_traversing Path_shape Traversing Roadways
traintweets.tsv:463465578611892224	-1.3	Judgment_direct_address Cause_to_perceive People
traintweets.tsv:463477084069703680	-2.87	Observable_body_parts Importance Cause_harm Experience_bodily_harm Experience_bodily_harm Judgment_direct_address People
traintweets.tsv:463022269485580288	-0.9	Holding_off_on Waiting Calendric_unit Measure_duration
traintweets.tsv:471722453064888320	-3.28	
traintweets.tsv:463104534207033345	-1.67	Calendric_unit Measure_duration
traintweets.tsv:463154255709229056	-2.52	Creating Organization Accuracy Desirability Expertise Social_interaction_evaluation Usefulness
traintweets.tsv:463507101223247875	-2.07	Chatting Statement Talking_into Degree Emotion_directed
traintweets.tsv:463410000485175296	-2.87	Emptying
traintweets.tsv:463490895942549504	-2.96	Change_event_time Purpose
traintweets.tsv:471692424071229440	-2.5	
traintweets.tsv:463285270427598849	-0.9	Desirability Becoming_a_member Similarity Desirability Expertise Social_interaction_evaluation Usefulness Participation Desirability Participation
traintweets.tsv:463399306972889088	-2.1	Desirability
traintweets.tsv:463077398129696768	-3.55	Ranked_expectation Experiencer_focus Chatting Statement Talking_into Degree
traintweets.tsv:471687420375601152	-1.3	Obviousness Ranked_expectation Cardinal_numbers Awareness Categorization Opinion Regard
traintweets.tsv:463379805095075841	-2.49	Calendric_unit Measure_duration Timespan Working_on
traintweets.tsv:463355946329440257	-2.86	Experiencer_focus Clothing People
traintweets.tsv:463271454344110081	-0.77	Being_awake Perception_active Seeking Vehicle Text Buildings
traintweets.tsv:471701167932977153	-3.41	Awareness Categorization Opinion Regard Statement Natural_features
traintweets.tsv:463042127166193664	-2.12	Emotion_directed Desirability Expertise
traintweets.tsv:463018848917401600	-0.9	
traintweets.tsv:463576135775690752	-2.58	
traintweets.tsv:463101591709839360	-2.78	People Certainty Trust Degree Event Eventive_affecting
traintweets.tsv:463425274860675072	-3.49	Experiencer_focus
traintweets.tsv:463333389530300416	-0.99	Clothing Desiring
traintweets.tsv:463082270333485058	-2.64	Calendric_unit Measure_duration
traintweets.tsv:460271327782260736	-3.04	Arriving Temporary_stay Calendric_unit Perception_active Emotion_directed Performing_arts Experiencer_focus Type Calendric_unit
traintweets.tsv:463240338552143872	-2.52	Calendric_unit Measure_duration Timespan
traintweets.tsv:463311188156489728	-2.55	Temporal_collocation
traintweets.tsv:463203330094018560	-2.31	Personal_relationship Quitting_a_place Residence State_of_entity
traintweets.tsv:460263188911497216	-1.31	
traintweets.tsv:463449496916336640	-1.65	Being_employed
traintweets.tsv:463260093967257600	-2.17	Calendric_unit Measure_duration Timespan
traintweets.tsv:463472286213734401	-2.63	
traintweets.tsv:463077677159952384	-2.44	
traintweets.tsv:472914436312023040	-2.51	Aesthetics
traintweets.tsv:463077555570884608	-1.71	Being_employed Education_teaching Causation
traintweets.tsv:463088900383449089	-2.88	
traintweets.tsv:471684816828923904	-2	Stimulus_focus People Direction Dressing Bragging Social_interaction_evaluation Similarity Becoming_aware Locating
traintweets.tsv:463362056063029248	-2.93	Awareness Categorization Opinion Regard
traintweets.tsv:463188758406647808	-2.08	Ingestion Food Locale_by_use
traintweets.tsv:460270352195944448	-3.81	Experiencer_focus Being_employed Experiencer_focus Taking_time Calendric_unit
