label,Calendric_unit,introspection,syn_mean,index,fear_mood,Awareness,syno_lower_mean,temper,enjoy,proactive,really,hashtag,eagerness_mood,love,sensitivity,attitude,sadness_mood,eager,Change_direction,Perception_active,Perception_experience,Cause_impact,Familiarity,Aesthetics,Stimulus_focus,Obviousness,Leadership,cloud_nine,smile,thanks,thoroughly_enjoy,called,guy,im,irony,People,sexuality,tweet
1,0,0.0553333333333333,0.7222222222222222,0,0,0,0.6611796982167353,-0.0502222222222222,0,0,0,1,0,0,0.0225555555555555,-0.0233333333333333,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,saw man running catch train. carrying stop sign. tuesday
1,0,0.0916666666666666,0.1777777777777777,1,1,0,0.2592592592592592,-0.0216666666666666,1,0,0,0,0,0,-0.0633333333333333,-0.0083333333333333,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,whats funny dick looks like steak.
1,0,0.2155,0.2083333333333333,2,0,0,0.2530864197530864,0.0,0,0,0,1,1,0,0.1125,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,lol music vic getting ready sarah. lmao. orphanblack
0,0,0.1794,0.2133333333333333,3,0,0,0.3604938271604938,0.034,0,0,0,1,1,0,0.1524,-0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,love job damn much. ihateit
1,0,-0.0072727272727272,0.1696969696969696,4,0,0,0.159371492704826,0.0,0,0,0,1,1,0,0.1642727272727272,-0.01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,brilliant british people fed mediocrity said piers morgan without hint bbcqt
0,0,0.15,0.3055555555555555,5,0,0,0.3786008230452675,0.0,0,0,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,thank danced prom really put line
0,1,-0.0038571428571428,0.1595238095238095,6,0,0,0.1552028218694885,-0.0244999999999999,0,0,1,1,0,0,0.0232142857142857,-0.0214285714285714,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,dear snow im glad youre back may. really missed two weeks gone. saidnooneever yegwx
0,1,0.1417222222222222,0.2074074074074074,7,0,0,0.2222222222222222,-0.0438888888888888,0,1,0,1,1,0,0.1965555555555555,0.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,roy hibbert another brilliant performance pacers tonight 0 points 0 rebounds 1 assist 2 blocks 5 fouls allstar
0,0,-0.0708333333333333,0.6611111111111111,8,0,0,0.5390946502057613,0.0375,0,0,0,0,1,0,0.0569999999999999,-0.1016666666666666,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,seriously? laptop broke best time ever...
0,0,0.13625,0.1916666666666666,9,0,0,0.2222222222222222,-0.1825,0,0,0,0,1,0,0.1445,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ivans future bright guys
0,0,-0.1399999999999999,0.2761904761904762,10,0,0,0.3633156966490299,0.0,0,0,0,0,0,0,-0.1385714285714285,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,much offensive zone time....i dont get losing...
0,1,0.0842727272727272,0.0969696969696969,11,0,0,0.1257014590347923,-0.0745454545454545,0,0,0,1,1,0,0.0753636363636363,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,homeless guy tell peed himself..what lovely day im having.. whatislife imsorrywhat
0,0,0.0489999999999999,0.0666666666666666,12,0,0,0.0658436213991769,0.0253333333333333,0,0,0,0,1,0,0.12,-0.0263333333333333,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,nice combover homegirl!
