label,Calendric_unit,introspection,syn_mean,index,fear_mood,Awareness,syno_lower_mean,temper,enjoy,proactive,really,hashtag,eagerness_mood,love,sensitivity,attitude,sadness_mood,eager,Change_direction,Perception_active,Perception_experience,Cause_impact,Familiarity,Aesthetics,Stimulus_focus,Obviousness,Leadership,cloud_nine,smile,thanks,thoroughly_enjoy,called,guy,im,irony,People,sexuality,tweet
0,1,-0.0015454545454545,0.2727272727272727,0,0,0,0.4399551066217732,-0.1563636363636363,0,0,0,1,0,0,0.0604545454545454,-0.0154545454545454,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,im fucking excited tonights bluejays game cant wait see happ pitch
0,0,0.1125,0.45,1,0,0,0.5493827160493827,0.0,1,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,funny take picture draw penis someones mouth. funny.
0,0,0.0591818181818181,0.209090909090909,2,0,1,0.2626262626262626,-0.0763636363636363,0,0,0,0,1,0,0.124090909090909,-0.0163636363636363,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,love mom acting like nothing happened. kill someone here. always understanding
1,0,0.0273333333333333,0.1416666666666666,3,0,0,0.1543209876543209,0.0,0,0,0,0,1,0,0.0691666666666666,0.0708333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fiji water expensive h2o america yet cant drink water youre actually here...
0,0,-0.0108,0.1266666666666666,4,0,0,0.182716049382716,-0.0686,0,0,0,1,0,0,0.065,-0.06,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,glad know hes friend... wtf
0,0,0.1640909090909091,0.1454545454545454,5,0,0,0.1099887766554433,0.0,0,0,0,1,1,0,0.1549090909090909,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,may force you. people. develop lisps today? maythe4th lisp starwars imanasshole
1,0,0.0615555555555555,0.237037037037037,6,1,0,0.345679012345679,-0.08,0,0,0,1,1,0,0.0794444444444444,0.0757777777777777,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bought kardashiankollection dress wear meet reggie bush saturday oh
0,0,0.1238571428571428,0.35,7,1,0,0.3633156966490299,0.0355,0,0,0,1,1,0,0.0622142857142857,0.0238571428571428,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,glad celebs get treated like rest us. total crap right there. justice isnt served
0,0,0.15,0.2111111111111111,8,1,0,0.1893004115226337,0.0,1,0,0,1,0,0,-0.01,0.0038333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,perks working downtown fiesta. yeahright toomuchtraffic
0,0,0.0787142857142857,0.419047619047619,9,0,0,0.4550264550264549,0.0437142857142857,0,0,0,0,0,0,0.0367142857142857,-0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,happy got move 8 times whole life..
